anio,sexo,05/09/2025,10-14,15-19,20-25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-mas,sin-dato,total_anio
2004,Masculino,0,4,16,40,33,33,26,25,33,36,27,28,21,25,30,15,11,11,0,5,419
2004,Femenino,1,2,7,10,5,4,6,8,10,10,11,13,7,1,5,4,3,2,0,1,110
2005,Masculino,0,1,20,36,33,34,17,21,27,30,25,32,24,31,21,17,15,3,0,1,388
2005,Femenino,0,2,12,5,7,8,5,9,10,13,5,6,7,8,6,6,5,1,0,0,115
2006,Masculino,0,2,19,36,35,30,20,29,16,31,21,38,27,34,22,24,10,3,0,3,400
2006,Femenino,0,0,3,3,6,8,8,15,20,14,12,15,12,9,5,6,1,0,1,0,138
2007,Masculino,1,5,32,36,44,27,33,29,36,29,37,25,28,24,23,25,13,2,2,2,453
2007,Femenino,0,0,8,10,7,7,7,16,18,6,9,12,11,9,6,4,3,1,0,0,134
2008,Masculino,0,3,23,35,43,21,33,34,35,32,35,20,25,27,20,19,11,6,0,1,423
2008,Femenino,0,2,6,6,4,6,9,8,9,12,12,7,7,11,4,8,3,1,0,1,116
2009,Masculino,0,0,25,45,37,46,33,21,31,31,21,20,30,30,28,19,8,4,1,1,431
2009,Femenino,0,1,5,9,7,5,11,9,9,8,7,9,5,7,9,3,1,1,0,0,106
2010,Masculino,0,1,25,44,40,38,27,20,30,27,29,30,26,25,35,18,11,3,1,3,433
2010,Femenino,0,3,5,6,10,8,4,12,13,9,16,12,7,7,5,5,3,0,1,0,126
2011,Masculino,0,4,30,45,39,46,33,38,31,25,22,33,23,28,25,16,5,5,0,4,452
2011,Femenino,0,2,12,8,5,6,9,17,11,13,14,5,11,8,7,4,4,3,1,1,141
2012,Masculino,0,2,34,47,42,31,47,34,39,25,29,29,35,20,23,19,13,8,2,5,484
2012,Femenino,0,1,4,8,8,8,11,6,15,13,10,13,8,5,6,2,4,0,2,0,124
2013,Masculino,0,3,32,41,51,26,26,25,35,32,26,28,14,21,31,13,13,6,0,8,431
2013,Femenino,0,5,12,3,7,10,11,10,10,7,9,7,5,4,14,7,1,0,1,1,124
2014,Masculino,0,1,27,51,37,44,40,42,37,31,28,21,22,24,18,20,11,5,1,6,466
2014,Femenino,0,0,5,13,9,11,8,18,11,8,10,8,11,8,5,3,2,1,0,4,135
2015,Masculino,0,3,25,49,56,40,38,35,25,37,38,32,34,29,20,21,14,2,1,11,510
2015,Femenino,0,2,5,12,8,15,12,6,10,10,12,11,4,7,6,3,5,3,0,1,132
2016,Masculino,0,2,25,58,47,50,39,41,32,40,41,40,35,24,26,25,19,6,1,0,551
2016,Femenino,0,1,8,16,10,13,12,11,10,9,18,16,7,15,8,5,1,2,0,1,163
2017,Masculino,0,4,34,57,42,54,47,33,33,51,37,36,30,25,24,20,17,5,5,0,554
2017,Femenino,0,1,8,14,14,7,9,19,7,9,11,9,10,2,4,6,2,2,0,0,134
2018,Masculino,0,3,19,52,44,42,45,47,34,45,43,41,31,30,27,20,18,2,1,1,545
2018,Femenino,0,4,4,11,5,13,10,17,15,19,12,13,14,9,12,5,2,0,0,0,165
2019,Masculino,0,3,23,66,61,36,47,40,53,45,32,31,41,30,28,15,15,7,1,0,574
2019,Femenino,0,2,6,11,14,9,8,7,12,13,11,11,9,13,8,6,5,4,0,0,149
2020,Masculino,0,3,28,65,67,59,46,41,28,32,39,33,32,31,31,28,11,5,2,0,581
2020,Femenino,0,0,14,10,9,13,11,10,20,9,7,7,7,4,4,8,3,1,0,0,137
2021,Masculino,0,0,30,54,87,49,67,39,32,38,40,35,41,34,32,29,19,9,0,0,635
2021,Femenino,0,0,12,12,11,4,6,15,9,9,10,6,13,6,6,6,3,2,0,0,130
2022,Masculino,0,3,30,48,75,56,57,49,44,39,35,48,42,33,36,24,11,11,0,0,641
2022,Femenino,0,2,15,23,10,13,12,15,16,14,24,13,11,5,3,3,2,1,0,0,182
2023,Masculino,0,2,21,53,79,63,47,34,47,44,31,36,33,20,31,15,11,3,1,0,571
2023,Femenino,0,2,12,24,9,19,15,16,12,20,15,10,11,7,9,6,4,1,0,0,192
2024,Masculino,0,1,20,70,61,59,50,49,44,31,31,34,35,28,25,21,12,6,1,0,578
2024,Femenino,0,2,12,15,22,14,10,18,19,17,8,9,17,7,5,2,5,3,1,0,186
